net,length_um
rs_inst.vj_arr\[0\]\[17\],9.84
_0369_,9.82
_0702_,9.82
_0808_,9.82
_0824_,9.82
_0873_,9.82
_1235_,9.82
rs_inst.vj_arr\[7\]\[3\],9.82
_0586_,9.76
_0136_,9.74
rs_inst.vj_arr\[0\]\[18\],9.74
_0749_,9.7
rs_inst.vj_arr\[7\]\[6\],9.7
_0048_,9.685
_0935_,9.68
_1246_,9.68
cdb_inst.alu_value\[11\],9.66
_0744_,9.64
_0883_,9.64
dmem_addr[13],9.64
rs_inst.vj_arr\[0\]\[9\],9.62
rs_inst.vj_arr\[2\]\[23\],9.58
rs_inst.vj_arr\[6\]\[11\],9.58
_0281_,9.52
_0594_,9.52
_0798_,9.52
rs_inst.vj_arr\[1\]\[5\],9.5
rs_inst.vj_arr\[0\]\[2\],9.48
rs_inst.vj_arr\[1\]\[11\],9.48
_0351_,9.445
_1052_,9.44
_0131_,9.42
_0438_,9.42
_1087_,9.42
_0646_,9.4
rs_inst.vj_arr\[3\]\[14\],9.4
net239,9.4
_0718_,9.38
rs_inst.vj_arr\[1\]\[6\],9.38
_0711_,9.36
_0734_,9.36
net180,9.36
rs_inst.vj_arr\[2\]\[9\],9.34
_0730_,9.32
rs_inst.vj_arr\[7\]\[11\],9.32
_0571_,9.28
_0721_,9.28
rs_inst.vj_arr\[6\]\[30\],9.28
_0178_,9.225
rs_inst.vj_arr\[6\]\[1\],9.2
_0232_,9.185
dmem_addr[12],9.18
dmem_addr[15],9.18
rs_inst.vj_arr\[7\]\[7\],9.16
rs_inst.vj_arr\[1\]\[17\],9.12
_0234_,9.075
_0617_,9.06
_0670_,9.06
rs_inst.vj_arr\[7\]\[10\],9.06
rs_inst.vj_arr\[5\]\[3\],9.04
rs_inst.vj_arr\[6\]\[7\],9.04
_0931_,9.02
_0940_,9.02
_1159_,9.02
rs_inst.vj_arr\[5\]\[30\],9.02
rs_inst.vj_arr\[6\]\[12\],9.02
_0237_,8.985
_0602_,8.98
_0736_,8.94
rs_inst.vj_arr\[5\]\[2\],8.94
rs_inst.vj_arr\[7\]\[19\],8.92
_0748_,8.9
_0879_,8.9
rs_inst.vj_arr\[7\]\[30\],8.9
net188,8.9
_0336_,8.865
_1121_,8.86
net321,8.84
_0306_,8.825
_0751_,8.82
rs_inst.vj_arr\[0\]\[11\],8.82
_1048_,8.79
rs_inst.vj_arr\[2\]\[17\],8.78
_0089_,8.765
_0153_,8.765
_0566_,8.74
_0196_,8.725
net70,8.72
net81,8.72
net83,8.72
net87,8.72
net90,8.72
net93,8.72
net98,8.72
net73,8.72
net101,8.72
net102,8.72
net74,8.72
net78,8.72
net79,8.72
net104,8.72
rs_inst.vj_arr\[5\]\[0\],8.72
_1243_,8.7
net305,8.7
_0171_,8.665
cdb_inst.alu_value\[0\],8.66
rs_inst.vj_arr\[1\]\[15\],8.66
rs_inst.vj_arr\[6\]\[19\],8.66
_0487_,8.64
_0201_,8.625
_1210_,8.62
rs_inst.vj_arr\[3\]\[12\],8.62
net327,8.62
rs_inst.vj_arr\[4\]\[4\],8.58
_0296_,8.56
_0440_,8.56
_0789_,8.56
_0065_,8.525
_0150_,8.525
_0301_,8.525
_0356_,8.525
_1170_,8.52
rs_inst.vj_arr\[3\]\[2\],8.52
_0433_,8.5
_0029_,8.485
_0537_,8.48
rs_inst.vj_arr\[0\]\[1\],8.46
rs_inst.vj_arr\[3\]\[11\],8.46
rs_inst.vj_arr\[4\]\[22\],8.46
_0719_,8.44
_0816_,8.44
_0875_,8.44
rs_inst.vj_arr\[6\]\[5\],8.42
rs_inst.vj_arr\[6\]\[9\],8.42
_0689_,8.38
_0725_,8.37
_0607_,8.36
rs_inst.vj_arr\[4\]\[31\],8.36
net221,8.36
rs_inst.vj_arr\[4\]\[30\],8.34
_0063_,8.325
_0074_,8.325
rs_inst.vj_arr\[0\]\[15\],8.32
rs_inst.vj_arr\[4\]\[20\],8.32
rs_inst.vj_arr\[6\]\[20\],8.32
_0101_,8.305
_0343_,8.305
_0800_,8.3
_0467_,8.28
_0692_,8.28
rs_inst.vj_arr\[2\]\[1\],8.28
_0387_,8.26
net227,8.26
net351,8.24
_0991_,8.22
_0213_,8.205
_0612_,8.2
_0784_,8.2
rs_inst.vj_arr\[7\]\[14\],8.2
_0769_,8.18
_0710_,8.16
net268,8.16
_0144_,8.145
_1242_,8.12
net134,8.12
net296,8.12
_0059_,8.065
_0064_,8.065
_0308_,8.065
_0549_,8.04
_0107_,8.025
_0517_,8.02
_0733_,8.02
rs_inst.vj_arr\[2\]\[13\],8
_0386_,7.98
rs_inst.vj_arr\[2\]\[30\],7.86
rs_inst.vj_arr\[4\]\[1\],7.86
